system:index,B_max,B_mean,B_p20,B_stdDev,Class,G_max,G_mean,G_p20,G_stdDev,NDVI_max,NDVI_mean,NDVI_p20,NDVI_stdDev,N_max,N_mean,N_p20,N_stdDev,R_max,R_mean,R_p20,R_stdDev,random,sum,.geo
00000000000000000029,207.0,189.2,172.5,14.756694,0,202.0,188.8,175.5,15.6894865,-0.17791411,-0.28544706,-0.3985066,0.098441415,134.0,106.2,75.0,26.095211,197.0,186.8,175.0,14.496896,0.9620520893654405,0.0,"{""type"":""Point"",""coordinates"":[-71.49478716267498,42.97184851453784]}"
0000000000000000002a,153.0,134.0,116.0,19.37008,0,148.0,126.4,106.0,20.343058,0.2887538,0.13750291,-0.0013056026,0.1483851,212.0,150.6,110.0,44.813393,122.0,108.2,93.0,12.576168,0.7703429413207814,0.0,"{""type"":""Point"",""coordinates"":[-71.48895019939603,43.00920240406255]}"
0000000000000000002b,212.0,191.6,174.5,16.596386,0,209.0,187.8,173.5,13.789851,-0.17142858,-0.3131312,-0.41640756,0.09906397,145.0,99.0,72.5,28.178005,205.0,184.0,169.0,14.268847,0.8883411682121067,0.0,"{""type"":""Point"",""coordinates"":[-71.48911964523604,43.00903295822252]}"
0000000000000000002c,220.0,207.4,193.5,13.108776,0,222.0,212.0,204.0,7.974961,-0.10997442,-0.21442029,-0.2984093,0.07528668,174.0,138.6,112.5,23.996666,221.0,211.8,204.0,8.518216,0.8856875210936525,0.0,"{""type"":""Point"",""coordinates"":[-71.5218717424736,42.92352077732058]}"
0000000000000000002d,206.0,173.2,146.0,29.464556,0,202.0,171.2,133.5,41.980473,-0.18235295,-0.29359213,-0.40478104,0.11045798,139.0,99.6,58.5,39.07224,201.0,170.3,131.0,43.474247,0.8922135632397611,0.0,"{""type"":""Point"",""coordinates"":[-71.43326494544058,43.006839080504236]}"
0000000000000000002e,178.0,167.0,152.5,13.038404,0,179.0,163.0,142.0,26.076809,-0.2086331,-0.29278496,-0.36602256,0.06846005,110.0,89.0,65.5,24.84351,181.0,158.6,132.0,31.575941,0.7199977579028416,0.0,"{""type"":""Point"",""coordinates"":[-71.45699628124703,42.95745007723626]}"
0000000000000000002f,209.0,192.2,181.0,12.253979,0,208.0,194.6,187.5,7.889233,-0.20792079,-0.28356335,-0.36866382,0.07279715,120.0,107.4,93.0,12.289833,204.0,192.0,183.5,8.27043,0.8760283589847121,0.0,"{""type"":""Point"",""coordinates"":[-71.43552570967468,42.929081276334244]}"
00000000000000000030,210.0,176.2,147.5,28.63145,0,216.0,184.4,147.5,41.75452,-0.038647342,-0.16448337,-0.30149254,0.13388874,205.0,145.8,88.0,59.388214,223.0,186.6,145.5,47.153366,0.9394771660708232,0.0,"{""type"":""Point"",""coordinates"":[-71.45737530483656,43.00992031933216]}"
00000000000000000031,205.0,180.1,156.0,26.587402,0,213.0,186.4,152.0,39.691814,-0.04568528,-0.15853319,-0.30132356,0.14494841,188.0,147.2,96.0,56.094208,217.0,185.9,148.5,45.04098,0.752623812081226,0.0,"{""type"":""Point"",""coordinates"":[-71.43414338834812,42.9916603005183]}"
00000000000000000032,209.0,199.2,190.5,8.376157,0,218.0,212.0,205.0,6.4187226,-0.020881671,-0.11669854,-0.21992615,0.09931399,211.0,173.8,142.0,32.387653,222.0,216.2,211.0,5.192302,0.9179767755961642,0.0,"{""type"":""Point"",""coordinates"":[-71.43243555264465,42.993006949036435]}"
00000000000000000033,234.0,212.8,199.5,14.661514,0,244.0,221.6,209.0,13.514437,-0.0112866815,-0.08841577,-0.1468102,0.054785218,219.0,189.0,169.5,20.248457,247.0,224.8,215.0,11.805083,0.7074722079892322,0.0,"{""type"":""Point"",""coordinates"":[-71.48113339524933,42.945044858105575]}"
00000000000000000034,220.0,203.6,195.5,9.090654,0,223.0,214.8,210.0,5.3065996,-0.011441648,-0.10096758,-0.17950316,0.07335757,216.0,179.6,152.5,25.476263,224.0,218.0,214.5,3.847077,0.946331426369577,0.0,"{""type"":""Point"",""coordinates"":[-71.48755004166523,42.94451422508021]}"
00000000000000000035,239.0,208.6,190.5,17.788761,0,250.0,223.8,210.5,13.607351,-0.04910714,-0.10835351,-0.16507351,0.050329976,213.0,185.2,163.0,21.747644,254.0,229.05,217.5,12.753333,0.9302553257581777,0.0,"{""type"":""Point"",""coordinates"":[-71.49846146194302,42.93751789552736]}"
